account,total_pnl,roi,pnl_std,hit_rate,max_loss,notional,risk_adjusted,sharpe,sortino,max_drawdown_proxy,profit_factor,composite_score
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,0.1302441302156638,0.36426382361833615,0.2349869451697128,0.0,1987527.6099999999,499.44023028641885,0.3575543926429801,0.5056582713617773,0.0,0.0,100.0813830031753
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,0.032565116785908586,0.08091827622075763,0.3596123624934521,-117990.1041,61697263.97,411.43575644859584,0.4024445194193941,0.5691424974656295,117990.1041,13.562407052567385,82.48957665307945
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,0.13413984747324048,0.17190111320291668,0.48423605497170574,0.0,2966109.22,320.79909621677353,0.7803314648398944,1.1035553407230427,0.0,0.0,64.53100784804299
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,403011.504159,0.07693411629637302,0.23604171959531198,0.3062937062937063,-3968.95225,3051144.33,276.9216487058995,0.3259344001910966,0.46094084919418876,3968.95225,101.5410311774348,55.56644903738488
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,0.017011615347871073,0.06251931527058636,0.34591194968553457,-35681.74723,11474500.92,263.77811245628834,0.2721017540618295,0.3848099909397477,35681.74723,12.032918767890727,52.91153889201769
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,0.27606412644074313,0.355011984638433,0.5731414868105515,-10309.40032,861809.4,171.14286774620916,0.7776191745242195,1.0997195829735218,10309.40032,7.066025375955136,34.659306836893435
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,0.04255941330724997,0.13675216845829716,0.4759036144578313,0.0,1143896.46,158.38622769625837,0.3112156376535159,0.44012537559219306,0.0,0.0,31.878558777431472
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.050643,0.015372973800306961,0.033234357889371076,0.48622589531680444,-6169.375076,39572949.25,154.45038534117967,0.46256268442073634,0.6541624217555113,6169.375076,109.85667791208874,31.13070294476561
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,0.0623784351369534,0.21928093480444186,0.3371343243059798,-5028.066368,56543565.23,144.63570761466397,0.2844681193674382,0.40229867247219964,5028.066368,426.28367265199154,29.09862235414531
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,0.04855910719093144,0.08494906228758006,0.40852575488454707,0.0,1677425.72,115.07512785995296,0.5716261708286214,0.8084014833932361,0.0,0.0,23.282786306373367
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,0.20893123724219032,0.3366014275118849,0.4317948717948718,-60.5786,728057.51,110.94914294672085,0.6207081140046956,0.8778138331004658,60.5786,1794.8783361120923,22.525079369077215
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.061853,0.03908448036770243,0.16612437311341063,0.32752745172283226,-24500.0,20737391.71,82.68904546666035,0.23527240244885703,0.3327254223952746,24500.0,9.000778034816326,16.685621648521604
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,0.009598506318254645,0.043598786970785404,0.40119320039228507,-29370.1198,420876556.36,68.63661442641249,0.22015535259470392,0.31134668546846106,29370.1198,28.614883457710647,13.876487683034844
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,0.023537037616554183,0.05033332095889197,0.5199135535659154,-996.7456,10166880.2,50.86360991853053,0.46762337887017746,0.6613193244809372,996.7456,169.20867771475488,10.424052819365308
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.80622,0.01343521408009457,0.025688963971857673,0.46758210645526616,-5.444032,68036340.24,44.28158242484816,0.5229955592920322,0.7396274130116943,5.444032,172696.23070180338,9.110762138272323
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,0.01313817004523954,0.029796360684409516,0.2853866317169069,-103.55,10992355.74,41.18811268005274,0.44093203812349757,0.6235720683990609,103.55,1222.3944194495414,8.43092092480455
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,0.002638854448798092,0.008050158976181361,0.32209737827715357,-540.253351,4448323.26,40.0566801393509,0.32780153244251176,0.4635813729468843,540.253351,40.27523700264841,8.174887619593004
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,0.0016282136417484952,0.018945197918905737,0.3603639240506329,-21524.4,129672529.28,40.280475534387946,0.08594334293671711,0.1215422411767873,21524.4,14.354679792049952,8.154439358661257
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,0.02766739988225624,0.0334048376220665,0.8108763772364298,-5843.04,25729497.24,36.60519001558562,0.8282453037274985,1.1713157415032518,5843.04,64.87982398049645,7.739987089647336
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.657906,0.006886085189925617,0.035298660356243274,0.33019361590790164,-1457.7349,11999173.37,33.77688224825713,0.19508063820069804,0.27588568429982613,1457.7349,44.94209331614411,6.882005189850194
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.553077,0.0113348388397103,0.04249613587894112,0.428230141349791,-22634.46345,74107810.44,20.773475614142313,0.2667263412372337,0.3772080092198501,22634.46345,36.93838623230099,4.3237595051215045
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.716161,0.023805147657036358,0.1496894558225053,0.35344524005164923,-1388.851115,4408828.9,12.0213096683793,0.15903022378051382,0.22490269929763096,1388.851115,74.40949936595617,2.529801593117455
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,0.05240811125713733,0.17524906935289306,0.43858462925400044,-7784.162915,6757022.1,9.971147382329505,0.2990492985249748,0.42291957379217987,7784.162915,17.017220220139755,2.187383625251335
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443047,0.003119391529159106,0.010128590355185423,0.45221295702373315,-776.860259,5844484.45,9.15812317211316,0.3079788420470678,0.4355478553469246,776.860259,19.18033890185133,2.015396695900247
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,0.004412356213598049,0.010491815972919021,0.3457866068567767,-7104.920076,19868207.98,6.715945334961875,0.42055219277454103,0.5947506147075003,7104.920076,14.961867849166216,1.539835753060172
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,0.0010741639830563936,0.03335161093064686,0.4427197802197802,-6820.76955,12035487.66,6.442869162543788,0.03220725935218146,0.04554794298272273,6820.76955,7.020515817603015,1.387102215553285
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919335999997,0.005707852497892546,0.1259449915196684,0.32766787405962666,-31036.69194,17193375.419999998,4.989033110558466,0.04532020232818206,0.06409244478200779,31036.69194,0.46580090957979836,1.078648613371441
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,3.2461683755570385e-05,0.0080372846785177,0.4386109962794543,-17178.87662,108877041.1,4.567093781842,0.004038886894517368,0.005711848623117416,17178.87662,1.309078662036517,1.0023623601977727
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.008976,0.0017048529288781822,0.05748529994462457,0.26196826243499133,-2806.5,12304786.84,2.4768547463027946,0.02965719811013359,0.04194161178933664,2806.5,15.64831960662747,0.5571732170592607
0x271b280974205ca63b716753467d5a371de622ab,-70436.191318,0.00012149935644410547,0.02071611901349671,0.3019165135206091,-25818.75012,33873440.42,-18.537310445147412,0.005864967099529971,0.00829431601502728,25818.75012,-2.728102289639418,-3.6452828463885685
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.12478100002,0.04094751386871518,0.16307976534878207,0.38274288198217776,-83056.32,10143758.13,-35.105095380841156,0.2510888691870502,0.3550932841652503,83056.32,-2.0181621914021717,-6.856859584855067
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599986,0.015204494547754365,0.29435675514501036,0.45521472392638035,-5981.36399,1409902.0,-39.245706943785564,0.051653289017485275,0.07304878186970491,5981.36399,-5.216803397714641,-7.738041108902265
